url,location,date,collected_at,processed,timestamp,last_update
/vaga-de-assistente-comercial-vendas-internas-operador-telemarketing-em-rio-janeiro__9944558.aspx,"Rio de Janeiro - RJ, 0 Km de você.",2024-12-12 02:49:00,2024-12-12 22:40:59,False,,2024-12-12 22:41:18.147870
/vaga-de-eletricista-obra-em-rio-janeiro__10179348.aspx,"Rio de Janeiro - RJ, 0 Km de você.",2024-12-12 02:48:00,2024-12-12 22:40:59,False,,2024-12-12 22:41:18.147870
/vaga-de-auxiliar-cozinha-hospitalar-higienizacao-em-rio-janeiro__10179320.aspx,"Rio de Janeiro - RJ, 0 Km de você.",2024-12-12 02:41:00,2024-12-12 22:40:59,False,,2024-12-12 22:41:18.147870
/vaga-de-assistente-marketing-em-rio-janeiro__10179302.aspx,"Rio de Janeiro - RJ, 0 Km de você.",2024-12-12 02:37:00,2024-12-12 22:40:59,False,,2024-12-12 22:41:18.147870
/vaga-de-agente-telemarketing-ativo-em-__10179271.aspx,Todo Brasil,2024-12-12 02:32:00,2024-12-12 22:40:59,False,,2024-12-12 22:41:18.147870
/vaga-de-analista-processos-em-rio-janeiro__10179256.aspx,"Rio de Janeiro - RJ, 0 Km de você.",2024-12-12 02:29:00,2024-12-12 22:40:59,False,,2024-12-12 22:41:18.147870
/vaga-de-trainee-engenharia-em-__10179219.aspx,Todo Brasil,2024-12-12 02:22:00,2024-12-12 22:41:00,False,,2024-12-12 22:41:18.147870
/vaga-de-auxiliar-servicos-gerais-em-rio-janeiro__10179141.aspx,"Rio de Janeiro - RJ, 0 Km de você.",2024-12-12 02:03:00,2024-12-12 22:41:00,False,,2024-12-12 22:41:18.147870
/vaga-de-chefe-cozinha-pilares-em-rio-janeiro__10179123.aspx,"Rio de Janeiro - RJ, 0 Km de você.",2024-12-12 01:58:00,2024-12-12 22:41:00,False,,2024-12-12 22:41:18.147870
/vaga-de-consultora-financeiroa-em-__10179120.aspx,Todo Brasil,2024-12-12 01:57:00,2024-12-12 22:41:00,False,,2024-12-12 22:41:18.147870
/vaga-de-auxiliar-escritorio-em-rio-janeiro__10176685.aspx,"Rio de Janeiro - RJ, 0 Km de você.",2024-12-12 01:54:50,2024-12-12 22:41:00,False,,2024-12-12 22:41:18.147870
/vaga-de-recepcionista-em-rio-janeiro__10176674.aspx,"Rio de Janeiro - RJ, 0 Km de você.",2024-12-12 01:54:50,2024-12-12 22:41:00,False,,2024-12-12 22:41:18.147870
/vaga-de-auxiliar-servicos-gerais-em-rio-janeiro__10176655.aspx,"Rio de Janeiro - RJ, 0 Km de você.",2024-12-12 01:54:50,2024-12-12 22:41:00,False,,2024-12-12 22:41:18.147870
/vaga-de-tsb-tecnica-saude-bucal-em-rio-janeiro__10179076.aspx,"Rio de Janeiro - RJ, 0 Km de você.",2024-12-12 01:46:00,2024-12-12 22:41:00,False,,2024-12-12 22:41:18.147870
